# File: A22.jet_credits.csv
# Title: Jet fuel production credits
# Units: N/A
# Description: Credits to produce jet fuels from joint liquids sectors
# Column types: ccin
# ----------
policy.portfolio.standard,policyType,constraint, min.price
#soybean renewable diesel jet credit high,RES,1,-1e6
#rapeseed renewable diesel jet credit high,RES,1,-1e6
#palmfruit renewable diesel jet credit high,RES,1,-1e6
#oilcrop renewable diesel jet credit high,RES,1,-1e6
#soybean renewable diesel jet credit low,RES,1,-1e6
#rapeseed renewable diesel jet credit low,RES,1,-1e6
#palmfruit renewable diesel jet credit low,RES,1,-1e6
#oilcrop renewable diesel jet credit low,RES,1,-1e6
renewable diesel jet credit high,RES,1,-1e6
renewable diesel jet credit low,RES,1,-1e6
