# File: RTI_peatland_data.csv
# Title: Land cover on peatland by land use type
# Units: km2
# Column types: cicnnnnnnnnnnn
# Source: Kemen Austin, RTI. kaustin@rti.org
# ----------
iso,glu_code,soil_type,Cropland,Pasture,Urban,NatVeg_Unk,NatVeg_Forest,NatVeg_Grass,NatVeg_Other,Timber_LR,Timber_SR,OilPalmFruit,Plantation_ag
ago,182,peat,0.07,1.95,0,0,8.58,6.04,0,0,0,0,0
ago,183,peat,1.06,25.28,0,0,48.27,19.89,0,0,0,0,0
ago,188,peat,0,0.04,0,0,0.81,0.81,0,0,0,0,0
ago,197,peat,1.4,15.51,0,0,0,2.16,0,0,0,0,0
arg,206,peat,5.32,2.29,0.12,0,49.41,9.05,0,0,0,0,0
aus,184,peat,0,6.53,0,0,0,958.8,0,0,0,0,0
aus,189,peat,5.37,17.99,0.02,14.34,8.66,20.51,0,0,0,0,0
aus,191,peat,6.01,1078.89,1.54,0,0,1.89,0,0,0,0,0
aus,193,peat,0,936.93,0,0,0,464.87,0,0,0,0,0
aus,208,peat,301.96,1575.66,0,0,0,281.1,0,0,0,0,0
bgd,110,peat,606.58,5.32,8.82,0,400.63,179.58,0,0,0,0,0
bgd,116,peat,343.1,26.98,9.06,39.16,323.29,37.28,0,0,0,0,0
btn,110,peat,2.52,1.01,0.16,0,10.65,9.12,0,0,0,0,0
bol,168,peat,34.3,145.36,0,0,4032.61,398.84,0,0,0,0,0
bwa,188,peat,0,3.17,0,0,0,8.03,0,0,0,0,0
bwa,197,peat,0.02,55.65,0.65,0,22.47,324.43,0,0,0,0,0
bra,156,peat,0,0,0,0,2.55,0,0,0,0,0,0
bra,161,peat,160.35,230.65,0.28,1406.52,5048.53,387.84,0,0,0,0,0
bra,168,peat,296.07,848.73,12.67,8.64,282809.59,7019.88,3.19,0.84,0,0,0
bra,172,peat,36.18,32.03,1.66,168.88,379.81,90.45,0,0,0,0,0
bra,174,peat,65.41,177.64,8.03,32.17,4048.21,2144,0,1.7,0,3.36,0
bra,186,peat,2.09,1.22,0.63,5.03,0,1.13,0,0,0,0,0.62
bra,192,peat,0,0.39,0.01,0,1.18,0,0,0,0,0,0
bra,195,peat,60.03,80.33,54.09,178.84,487.03,240.15,0,24.77,6.47,0,0
bra,206,peat,43.99,79.48,7.03,0,124.43,103.4,0,45.59,24.07,0,0
brn,159,peat,1.92,0,0.06,0.85,23.16,0,0,18.54,0,0,0.84
mmr,116,peat,649.53,13.03,7.99,164.37,923.02,375.48,0,13.04,0,0,0
mmr,125,peat,0.07,0,0,0,5.5,0.77,0,0,0,0,0
mmr,127,peat,137.79,1.28,1.43,0,149.44,44.62,0,7.74,0,0,0
mmr,137,peat,1693.76,28,14.26,457.28,2827.88,671.77,0,40.4,0,0,0
mmr,138,peat,916.11,19.35,14.67,15.15,603.4,347.66,9.5,7.3,0,0,0
mmr,139,peat,197.4,0.6,8.23,85.43,857.63,77.56,0,25.65,0,0,0
cmr,149,peat,1.93,1.15,0.02,0,9.86,7.12,0,0,0,0,0
cmr,151,peat,0,0.06,0,0,0,1.62,0,0,0,0,0
cmr,162,peat,307.78,125.53,12.43,105.88,1131.24,938.03,1.84,2.53,0,19.16,11.91
cmr,183,peat,4.61,0.12,0,0,468.07,28.11,0,0,0,0,0
caf,151,peat,0,0.04,0,0,0,0.8,0,0,0,0,0
caf,183,peat,9.79,4.49,0.06,0,177.42,39.11,0,0,0,0,0
chl,207,peat,0,0.05,0.25,0.39,0,0,0,0,0,0,0
col,143,peat,16.75,358.65,0.7,0.54,2187.78,386.1,0,0,0,0,3.35
col,156,peat,20.61,4551.05,0.52,0,13198.81,873.05,0,36.45,0,0.85,0
col,157,peat,2.58,118.53,6.11,227.56,1436.06,1382.38,3.39,0,0,0,0
col,166,peat,68.92,960.6,3.39,0,335.21,101.93,0,0,0,3.89,0
col,168,peat,34.14,170.58,0.09,0,36643.99,1017.17,0,0,0,0,0
com,177,peat,0.07,0.69,0,0,0,0,0,0,0,0,0
cog,162,peat,5.21,90.34,0.1,0,744.05,45.44,0.85,0,0,0,0
cog,183,peat,191.3,3797.43,3.79,0,47322.04,3870.47,187.55,0,0,0,0
ecu,157,peat,30.36,31.24,2.45,2.67,77.53,30.61,1.24,0,0,0,0
ecu,168,peat,5.02,3.16,1.16,0,6290.61,252.46,0,0,0,2.52,0
gnq,162,peat,25.93,15.69,0.12,14.56,324.48,232.13,0,0,0,0,0
guf,161,peat,3.02,4.11,0.91,0,2991.86,225.1,5.67,0,0,0,0
guf,168,peat,0,0,0,0,2.55,0,0,0,0,0,0
gab,162,peat,35.73,613.45,5.96,74.79,3178.69,682.2,8.55,0,0,5.05,0
gab,183,peat,0.03,0.27,0,0,2.55,0.54,0,0,0,0,0
gha,142,peat,6.67,1.49,0.57,1.86,4.89,15.31,0,0,0,0,0
gin,142,peat,125.31,86.83,19.01,11.95,439.89,506.32,0,0,0,0,0
gin,149,peat,0.38,4.03,0,0,6.56,2.32,0,0,0,0,0
guy,161,peat,142.88,64.19,15.75,326.31,3895.25,336.66,0,0,0,0,0
guy,168,peat,0.03,0.01,0,0,14.39,0,0,0,0,0,0
ind,110,peat,5075.23,156.28,143.68,0,2098.5,867.02,0,0,0,0,0
ind,116,peat,2.59,0.05,0,0,31.83,2.13,0,0,0,0,0
ind,137,peat,25.13,1.01,0.46,0,30.96,4.86,0,0,0,0,0
idn,159,peat,,,,0,0,0,0,3.4,0,24.68,0
idn,163,peat,5834.25,1273.85,19.14,2280.24,16592.13,1946.63,0,4625.3,8127.44,12902.95,8133.4
idn,165,peat,6326.37,2147.92,31.14,2141.99,27088.85,1729.83,0,1116.91,509.85,6540.51,620.12
idn,167,peat,1690.79,205.76,8.54,3522.11,25924.82,3839.04,0,8.52,0,33.63,0
idn,178,peat,6.51,0,0,0,56.28,111.29,0,0,0,0,0
idn,181,peat,3.26,0.23,0,0,98.06,0,0,0,0,0,0
civ,142,peat,18.15,23.83,1.91,3.66,7.46,32.57,0,0,0,3.5,0
ken,171,peat,0.88,0.6,0,0,0.1,1.79,0,0,0,0,0
khm,125,peat,8.27,10.22,0.16,1.75,221.71,24.76,0,4.97,0,0,12.77
khm,126,peat,1.72,0.51,0,0,2.41,0.25,0,0,0,0,0
khm,148,peat,38.89,15.88,3.67,20.4,416.26,11.95,0,4.98,0,5.81,57.75
lao,125,peat,42.94,17.61,0.16,0,403.37,58.78,0,0,0,0,0
lao,126,peat,0,0,0,0,4.83,0,0,0,0,0,0
